video_id,titulo,fecha_publicacion,duracion_seg,pct_reproducido,duracion_promedio_vista,vistas,horas_reproduccion,categoria,es_short,ingresos_usd
8WwnRyZSmWc,Arquitectura pro-sísmica: lecciones de Chile para República Dominicana Cristian Wittig,"Sep 22, 2025",760,315.36,0:39:56,1,0.6658,Otros / Institucional,False,0.008
Mr1d-cN2FT4,El camino de más de tres décadas que ha convertido a ODONTODOM en un referente,"Oct 23, 2023",2381,50.06,0:19:52,2,0.6622,Otros / Institucional,False,
5I-Eed7HHN4,Planeta en llamas: El impacto letal de la nueva ola de calor global,"Jun 23, 2026",92,197.23,0:03:01,29,0.6602,Noticias breves (geopolítica/actualidad),True,0.002
GiKjvdEzuDo,Empresas internacionales en busca de talento dominicano: Jaime Ozores Ep. 01,"Oct 3, 2024",829,40.07,0:05:32,7,0.6458,Otros / Institucional,False,
bF243NHAEzs,"Ana Ibáñez: Tu cerebro no quiere que seas feliz, quiere que sobrevivas","Jun 3, 2025",875,29.09,0:04:14,9,0.6363,Otros / Institucional,False,0.017
uDqOaRnDb34,Mercado Women's Leadership Summit 2020,"Oct 21, 2020",9501,0.69,0:01:05,36,0.6339,Empresarios / Liderazgo,False,
5nnc6qUy6MM,Golpe interno para Trump: La disidencia republicana lo desarma,"Jun 5, 2026",96,78.29,0:01:15,45,0.6293,Noticias breves (geopolítica/actualidad),True,0.004
g1aABtQX0G8,Gabriel Escarrer: Qué opina el CEO mundial de Meliá Hotels,"Mar 16, 2025",1275,16.15,0:03:25,11,0.629,Deportes,False,
nx2-dGLpQ9E,Descubriendo la tumba perdida de Cleopatra en Egipto - Dra. Kathleen Martínez,"Dec 11, 2024",31,58.71,0:00:18,188,0.6075,Documental (Kathleen Martínez),True,0.005
1fIxLDGNBE0,Isabel Rojas,"Jul 4, 2025",71,43.68,0:00:31,98,0.6055,Mercado Podcast,True,0.017
N6xFa36DhIk,"Ciberseguridad, IA y empleos de futuro, por Harry Peralta (HarPer)","Feb 22, 2024",645,37.19,0:03:59,9,0.5997,Otros / Institucional,False,
450wUzQyqdI,El Testigo: el medio de comunicación que creció revelando lo que otros no contaban,"Jul 28, 2026",369,24.21,0:01:29,24,0.5957,Otros / Institucional,False,
UnVomGHUM50,"Formalidad laboral, IA y juventud: el gran reto del empleo en RD","Jul 6, 2026",1304,31.36,0:06:48,5,0.568,Otros / Institucional,False,
UPIxgt5NuB8,Cómo Cesarina Beauchamp convirtió su pasión por los aviones en una carrera de éxito,"Dec 18, 2023",2027,99.5,0:33:36,1,0.5603,Otros / Institucional,False,0.049
V927einCJZo,Convertiremos el área en un cementerio Irán lanza duras advertencias a EEUU,"May 27, 2026",108,70.96,0:01:16,44,0.515,Noticias breves (geopolítica/actualidad),True,0.004
gvI0MoULq4I,"Grupo Piñero a 50 años: innovación, expansión y propósito con Encarna Piñero","Mar 24, 2025",1507,55.95,0:14:03,2,0.4684,Otros / Institucional,False,
by0aTcMMtoA,El número de víctimas de la tragedia sigue en ascenso y sismo de 5.2 sacude el Caribe,"Jun 26, 2026",80,57.38,0:00:45,69,0.4482,Otros / Institucional,True,0.004
bqH3-tMv380,¿Por qué República Dominicana lidera el ranking mundial de las mejores playas de lationamérica?,"Jul 8, 2026",99,105.5,0:01:44,35,0.4424,Deportes,True,0.003
30O15yTA2_Y,Alerta sanitaria en Estados Unidos por un parásito intestinal,"Jul 15, 2026",94,53.23,0:00:50,50,0.4399,Noticias breves (geopolítica/actualidad),True,0.005
5-PO8pf492M,DOMINICAN WATCHMAN. Historia de un referente en seguridad,"Mar 27, 2024",2532,10.28,0:04:20,6,0.4338,Otros / Institucional,False,0.001
1SsOYiYc4YM,El Pentágono bajo presión: La parálisis diplomática que fractura la imagen de fuerza de Trump,"Jun 19, 2026",106,63.49,0:01:07,37,0.4328,Noticias breves (geopolítica/actualidad),True,0.003
cSQ0-OhINIg,Trump refuerza la Presión Máxima contra Irán,"May 1, 2026",89,102.1,0:01:30,31,0.4309,Noticias breves (geopolítica/actualidad),True,0.001
RgAtZpon-Vo,¿Trump pierde el control del tablero geopolítico frente a Israel e Irán?,"Jun 2, 2026",104,70.33,0:01:13,41,0.43,Noticias breves (geopolítica/actualidad),True,0.002
aeUI0zYcntM,En mundo digital ¿como te puedes convertir en un medio destacado?,"Jul 28, 2026",33,63.93,0:00:21,127,0.4235,Otros / Institucional,True,0.009
