autor,entidad,tipo,notas,confianza,meses_activos,mes_primero,mes_reciente,demanda_reciente_ratio,es_recurrente
Elba Reyes,dejará de funcionar,tema,2,baja,1,2026-07,2026-07,0.0,False
Elba Reyes,dominicanos que compiten,tema,3,media,1,2026-07,2026-07,1.0,False
Elba Reyes,donde verlo,tema,2,baja,1,2026-03,2026-03,0.0,False
Elba Reyes,fechas y horarios,tema,2,baja,1,2026-07,2026-07,0.5457782803560781,False
Elba Reyes,Festival,entidad,3,media,1,2026-08,2026-08,0.0,False
Elba Reyes,final tras los partidos,tema,2,baja,1,2026-07,2026-07,1.0,False
Elba Reyes,Halftime,entidad,2,baja,1,2026-02,2026-02,0.03257820828068351,False
Elba Reyes,juega república,tema,2,baja,1,2026-03,2026-03,0.0,False
Elba Reyes,juegos,entidad,2,baja,1,2026-03,2026-03,0.0,False
Elba Reyes,lista oficial,tema,2,baja,1,2026-07,2026-07,0.0,False
Elba Reyes,María Corina Machado,entidad,3,media,1,2026-01,2026-01,0.0,False
Elba Reyes,mejores películas,tema,2,baja,1,2026-07,2026-07,0.4084682485665198,False
Elba Reyes,Belice,entidad,2,baja,1,2026-02,2026-02,0.03257820828068351,False
Elba Reyes,mercado laboral,tema,3,media,1,2026-07,2026-07,1.0,False
Elba Reyes,Mets,entidad,2,baja,1,2026-04,2026-04,0.0,False
Elba Reyes,Miss República Dominicana,entidad,2,baja,1,2026-07,2026-07,1.0,False
Elba Reyes,MLB,entidad,3,media,1,2026-07,2026-07,1.0,False
Elba Reyes,mundial así quedó,tema,2,baja,1,2026-07,2026-07,1.0,False
Elba Reyes,mundial cruces,tema,2,baja,1,2026-07,2026-07,1.0,False
Elba Reyes,mundial cuánto,tema,2,baja,1,2026-07,2026-07,0.14890757387392703,False
Elba Reyes,mundo para vivir,tema,2,baja,1,2026-07,2026-07,1.0,False
Elba Reyes,Nobel,entidad,3,media,1,2026-01,2026-01,0.0,False
Elba Reyes,nombre de usuario,tema,2,baja,1,2026-07,2026-07,0.0,False
Elba Reyes,Numbeo,entidad,2,baja,1,2026-07,2026-07,0.05163194555356091,False
Elba Reyes,octavos de final,tema,5,media,1,2026-07,2026-07,1.0,False
Elba Reyes,Odisea,entidad,2,baja,1,2026-07,2026-07,1.0,False
Elba Reyes,Pantera Negra,entidad,2,baja,1,2026-07,2026-07,1.0,False
Elba Reyes,partidos del mundial,tema,2,baja,1,2026-07,2026-07,1.0,False
Elba Reyes,pasaporte dominicano,tema,2,baja,1,2026-07,2026-07,1.0,False
Elba Reyes,pena comprar,tema,2,baja,1,2026-07,2026-07,0.0,False
Elba Reyes,presidente revelan los primeros,tema,2,baja,1,2026-08,2026-08,0.0,False
Elba Reyes,próximo mundial,tema,2,baja,1,2026-07,2026-07,1.0,False
Elba Reyes,quién lidera,tema,2,baja,1,2026-07,2026-07,1.0,False
Elba Reyes,dominicana requisitos,tema,2,baja,1,2026-05,2026-05,0.0,False
Elba Reyes,dominicana vaguada,tema,3,media,1,2026-04,2026-04,0.0,False
Elba Reyes,rones del mundo,tema,2,baja,1,2026-07,2026-07,1.0,False
Elba Reyes,Samsung,entidad,2,baja,1,2026-07,2026-07,0.0,False
Elba Reyes,sedes confirmadas,tema,2,baja,1,2026-07,2026-07,1.0,False
Elba Reyes,semana santa,entidad,5,media,1,2026-03,2026-03,0.0356825152997718,False
Elba Reyes,Super Bowl,entidad,3,media,1,2026-02,2026-02,0.0,False
Elba Reyes,tormentas eléctricas,tema,2,baja,1,2026-04,2026-04,0.0,False
